topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read
12,"Neighbouring families, brothers and courtship (shared names)",recurring_role_or_name+mixed_or_unclear,pending,"21 works; Philip, Francis, Frank, Phillis; Two Angry Women 23 %",draft_ai,
13,Arcadian romance: princes and ladies (shared names),recurring_role_or_name+mixed_or_unclear,pending,"23 works; Philoclea, Lysicles, Penthea; Lost Lady 22 %",draft_ai,
14,"Shepherds, nymphs and courtship",thematic_discourse+recurring_role_or_name,candidate,"9 works; Silvia, Cloris, Thirsis, Amarillis, nymph, shepherd; Pastor Fido 33 %",draft_ai,
15,"Love, beauty and desire",thematic_discourse,candidate,"93 works; love, beauty, desire, eyes, soul; no work above 6 %",draft_ai,
16,Royal claims and Anglo-French conflict,shared_narrative,candidate,"17 works; king, France, England, Philip, John, Pope, cardinal; Troublesome Reign 19 %",draft_ai,
17,"Merry Wives of Windsor: Falstaff, Ford and the wives",shared_narrative,contextual_only,"Merry Wives 69 %, 7 works (several editions); Falstaff also in Henry IV/V material",draft_ai,
18,Captains and military roles,thematic_discourse+recurring_role_or_name,candidate,"48 works; captain, soldier, gentlemen; Puritan Widow 9 %; check real war scenes vs braggart roles",draft_ai,
19,"Plays, performance and authorship",thematic_discourse,candidate,"66 works; play, stage, poet, prologue, comedy, scene; check share from prologue/epilogue nodes",draft_ai,
20,Cleopatra and Antony narratives,shared_narrative,candidate,"9 works; four dramatizations (Shakespeare 44, Daniel 30, May 24, Sidney Herbert 12) + Cornelia (Antony/Caesar on death); read pack: shared situation of the defeated lovers between Caesar's clemency and death; edge = Virgin Martyr name-resemblance; Daniel outlier 251_00008 shows outliers understate the story",checked_ai,890_00042;251_00019;1099_00021;187_00000;210_00022;843_00013;251_00008
21,Royal power and political judgment,thematic_discourse,candidate,"27 works; kings, power, state, fortune, laws (spelling feare/loue suggests closet drama); Mustapha 27 %",draft_ai,
22,"Merchant of Venice: bonds, ducats and rings",shared_narrative,contextual_only,"Merchant 96 %, 5 works (editions); dominant work >= 90 %",draft_ai,
23,Hercules narratives,shared_narrative,candidate,"16 works; Hercules Oetaeus 35 %; Hercules, Alcides, Deianeira, hell, gods",draft_ai,
24,"Knights, apprentices and chivalric play (shared names)",recurring_role_or_name+mixed_or_unclear,pending,"16 works; George, Rafe, knight; Knight of the Burning Pestle 35 %",draft_ai,
25,"Power, fortune and mortality",thematic_discourse,candidate,12 works but Alexandraean Tragedy 53 + Darius 33 chunks = 86/100 from William Alexander: author concentration to state,draft_ai,
26,"Friars, nuns and religious institutions",thematic_discourse+recurring_role_or_name,candidate,"22 works; friar, nun, holy, pray; Jew of Malta 32 % (Barabas, Abigail) recorded as concentration, not sole explanation",draft_ai,
27,"Othello: jealousy, Iago and Desdemona",shared_narrative,contextual_only,"Othello 96 %, 2 editions",draft_ai,
28,"Judges, chastity and pardon (Measure for Measure and related)",shared_narrative+mixed_or_unclear,pending,"15 works; Angelo, Isabella, Claudio, Rachel; Measure for Measure 29 %",draft_ai,
29,"Theban narratives, kinship and burial",shared_narrative,candidate,"5 works; Jocasta 63, Antigone 21 of 94 chunks; Thebes, Polynices, Eteocles, Antigone, Creon",draft_ai,
30,Henry IV and the Percy rebellion,shared_narrative,candidate,"15 works; Harry, Percy, prince, Douglas; 1 Henry IV 46 %",draft_ai,
31,"Lyly's mythological courtship: Cynthia, Pandora, Endymion",shared_narrative+recurring_role_or_name,contextual_only,"6 works; Endymion 43 % + Woman in the Moon names (Pandora, Stesias, Gunophilus): author concentration (Lyly)",draft_ai,
32,"Kinship, inheritance and property",thematic_discourse,candidate,"29 works; uncle, widow, nephew, niece, gentlemen; Trick to Catch the Old One 29 %",draft_ai,
33,Arcadia narratives (Sidney adaptations),shared_narrative,contextual_only,"6 works; Isle of Gulls 59 %; Dorus, Dametas, Mopsa, Zelmane, Demetrius",draft_ai,
34,"Every Man Out of His Humour: humours, gallants and satire",shared_narrative,contextual_only,"Every Man Out 97 %, 3 editions",draft_ai,
35,"Taming of the Shrew: Kate, Petruchio and the suitors",shared_narrative,contextual_only,"Shrew 85 %, 7 works (Shrew/A Shrew editions)",draft_ai,
36,"Much Ado About Nothing: Beatrice, Benedick and the slandered bride",shared_narrative,contextual_only,"Much Ado 94 %, 3 editions",draft_ai,
37,Catiline conspiracy: senate and consuls,shared_narrative,contextual_only,"Catiline 84 %, 8 works; Rome/senate vocabulary overlaps T8",draft_ai,
38,"Virtue, honour and fame",thematic_discourse,candidate,"41 works; virtue, glory, honour, fame, fortune, vice; Old Fortunatus 14 %; civic pageants prominent (topic->genre)",draft_ai,
39,"Romeo and Juliet: love, feud and the friar",shared_narrative,contextual_only,"Romeo 97 %, 2 editions",draft_ai,
40,"Lords, lordship and courtly deference (shared names)",recurring_role_or_name+mixed_or_unclear,pending,"20 works; Francisco, Lucio, lordship, dare; Woman Hater 21 %",draft_ai,
41,"Devils, hell and damnation",thematic_discourse,candidate,"36 works; devil, devils, hell, soul; distinguish doctrine, cursing, comic metaphor and stage devils",draft_ai,
42,"Titus Andronicus: Rome, Goths and revenge",shared_narrative,contextual_only,"Titus 91 %, 5 works",draft_ai,
43,Arthur and Hubert narratives (shared name across plays),recurring_role_or_name+mixed_or_unclear,pending,11 works; Arthur/Hubert (King John matter) with How a Man May Choose 33 %: check whether one story or a name overlap,draft_ai,
44,"Poetaster: poets, Horace and Augustan Rome",shared_narrative,contextual_only,"Poetaster 63 %, 6 works",draft_ai,
45,"Fedele and Fortunio and Italian comedy: fathers, suitors, servants",shared_narrative+recurring_role_or_name,contextual_only,4 works; Fedele and Fortunio 38 %; Sempronio also in T10,draft_ai,
46,Thomas Lord Cromwell: rise and fall,shared_narrative,contextual_only,"Cromwell 78 %, 9 works",draft_ai,
47,"Hamlet: father, mother and revenge",shared_narrative,contextual_only,"Hamlet 100 %, 1 work (several editions)",draft_ai,
48,Spanish Tragedy: Hieronimo's revenge,shared_narrative,contextual_only,"Spanish Tragedy 57 %, 4 works (editions/First Part)",draft_ai,
49,"Ghosts, revenge and the underworld",thematic_discourse,candidate,"22 works; hell, ghosts, gods, mischief, wicked; Thyestes 24 %; Senecan link is a later interpretive claim",draft_ai,
50,"Friar Bacon: magic, Margaret and Prince Edward",shared_narrative,contextual_only,"Friar Bacon 97 %, 3 editions",draft_ai,
51,Tamburlaine cycle: conquest and kingship,shared_narrative,contextual_only,Part 1 28 + Part 2 23 of 57 chunks: two-part work concentration (dominant work_id 49 % understates it),draft_ai,
52,"Carthage and Rome: Hannibal, Scipio, Sophonisba",shared_narrative,contextual_only,6 works; Hannibal and Scipio 51 %; Sophonisba matter also in Marston,draft_ai,
53,Deserving Favourite: Lysander and Clarinda,shared_narrative,contextual_only,"Deserving Favourite 82 %, 4 works",draft_ai,
54,Supposes: exchanged identities and fathers,shared_narrative,contextual_only,"Supposes 100 %, 1 work",draft_ai,
55,Orestes and familial revenge,shared_narrative,candidate,"10 works; Orestes 40 %; Aegisthus, Agamemnon, Horestes, revenge",draft_ai,
56,"Sforza of Milan: war, princes and the French",shared_narrative,contextual_only,"Sforza 80 %, 5 works",draft_ai,
57,"The Cid: honour, duty and revenge",shared_narrative,contextual_only,"6 works; 1 The Cid 43 % (two parts); Roderigo, Cimena, Sancho",draft_ai,
58,Terence's Andria: marriage plots in translation,shared_narrative,contextual_only,"3 works; Andria 55 %; Pamphilus, Davus, Chremes",draft_ai,
59,Promos and Cassandra / Young Admiral: princes and sentences (shared names),shared_narrative+mixed_or_unclear,pending,"5 works; Young Admiral 59 %; Cassandra, Vittori, Promos, Andrugio",draft_ai,
60,Epicene: Dauphine and the collegiate ladies,shared_narrative,contextual_only,"Epicene 94 %, 4 works",draft_ai,
61,Suspected name-overlap: Every Man In (1601) and The Tempest,mixed_or_unclear,pending,"Every Man In 1601 text 28 + Tempest 18 chunks; Prospero/Lorenzo/Stephano vs Stephano/Trinculo: overlap of names noted, cause not proven",draft_ai,
62,"Wars of Cyrus: Persians, Assyrians and Panthea",shared_narrative,contextual_only,"Wars of Cyrus 55 %, 5 works",draft_ai,
63,"Orlando Furioso: Angelica, Orlando and rivals",shared_narrative,contextual_only,"Orlando Furioso 47 %, 5 works",draft_ai,
64,Raging Turk: Bajazet and Ottoman succession,shared_narrative,contextual_only,"Raging Turk 98 %, 2 works",draft_ai,
65,Medea and Jason,shared_narrative,contextual_only,"Medea 74 %, 7 works",draft_ai,
66,Technogamia: personified arts and sciences,shared_narrative,contextual_only,"Technogamia 93 %, 3 works; personified disciplines",draft_ai,
67,Pyramus and Thisbe and the fairies,shared_narrative,contextual_only,"8 works; Midsummer Night's Dream 64 %; Pyramus, Thisbe, Oberon, fairy, lion, wall",draft_ai,
68,Look About You: Gloster and Skink disguises,shared_narrative,contextual_only,"Look About You 98 %, 2 works",draft_ai,
69,"Trial of Chivalry: Pembroke, Navarre and Bourbon",shared_narrative,contextual_only,"Trial of Chivalry 78 %, 5 works",draft_ai,
70,Englishmen for My Money: Pisaro and the foreign suitors,shared_narrative,contextual_only,"Englishmen for My Money 93 %, 4 works",draft_ai,
71,Lear narratives: Cordelia and the divided kingdom,shared_narrative,contextual_only,"4 works; King Lear 85 % + King Leir; Cordelia, Regan, Kent, fool",draft_ai,
72,Arden of Faversham: Alice and Mosby,shared_narrative,contextual_only,"Arden 100 %, 1 work",draft_ai,
73,"Lady's Trial: Auria, Spinella and Adurni",shared_narrative,contextual_only,"Lady's Trial 51 %, 7 works",draft_ai,
74,"Apollo Shroving: Apollo, Midas and the Muses",shared_narrative,contextual_only,"Apollo Shroving 68 %, 4 works",draft_ai,
75,"Constables, watchmen and local order",thematic_discourse+recurring_role_or_name,candidate,"21 works; constable, watch, night, justice, neighbour; Wit in a Constable 14 %",draft_ai,
76,Marius and Sulla: Roman civil war,shared_narrative,contextual_only,"Wounds of Civil War 100 %, 1 work",draft_ai,
77,Lucrece and the Tarquins,shared_narrative,contextual_only,"Rape of Lucrece 92 %, 3 works",draft_ai,
78,Maria/Mary courtship scenes (shared names),recurring_role_or_name+mixed_or_unclear,pending,"14 works; Maria, Mary, Hartlove, Gerardine; Night Walker 31 %",draft_ai,
79,London Prodigal: Flowerdale and Delia,shared_narrative,contextual_only,"London Prodigal 69 %, 7 works",draft_ai,
80,"Coriolanus: Martius, tribunes and Rome",shared_narrative,contextual_only,"Coriolanus 97 %, 2 works",draft_ai,
81,"Conscience, profit and allegorical personifications",thematic_discourse+recurring_role_or_name,candidate,"3 works; Wilson's Three Ladies / Three Lords 33/35 chunks: author concentration; Conscience, Usury, Lucre, Simony, Dissimulation are personified concepts",draft_ai,
82,Midsummer Night's Dream: the four lovers,shared_narrative,contextual_only,"Midsummer Night's Dream 88 %, 5 works; Hermia, Lysander, Demetrius, Helena",draft_ai,
83,"Women, rank, fashion and display",thematic_discourse,candidate,"25 works; lady, madam, ladies, tailor, mistress; Lady of Pleasure 15 %; fashion needs textual confirmation beyond 'lady'",draft_ai,
84,"Emperor of the East: Paulinus, Eudoxia and the court",shared_narrative,contextual_only,"Emperor of the East 58 %, 4 works",draft_ai,
85,Taming of a Shrew: Ferando and Kate,shared_narrative,contextual_only,"A Shrew 97 %, 2 works",draft_ai,
86,"Sejanus: Tiberius, Drusus and the senate",shared_narrative,contextual_only,"Sejanus 97 %, 2 works",draft_ai,
87,Patient Grissel: Grissel and Gwenthyan,shared_narrative,contextual_only,"Patient Grissel 100 %, 1 work",draft_ai,
88,Tale of a Tub: Audrey and the squire,shared_narrative,contextual_only,"Tale of a Tub 100 %, 1 work",draft_ai,
89,"Love's Cruelty: Hippolito, Eubella and Clariana",shared_narrative,contextual_only,"Love's Cruelty 50 %, 8 works",draft_ai,
90,Hoffman: Lorrique and the prince's revenge,shared_narrative,contextual_only,"Hoffman 97 %, 2 works",draft_ai,
91,Palamon and Arcite (Two Noble Kinsmen),shared_narrative,contextual_only,"Two Noble Kinsmen 97 %, 2 works",draft_ai,
92,Rings and jewels as tokens or evidence,thematic_discourse,candidate,"20 works; ring, jewel, finger, gold, maid; All's Well 23 %; ChatGPT sampled: tokens, accusations, evidence of identity/sexual relations",draft_ai,
93,Damon and Pithias: friendship and tyranny,shared_narrative,contextual_only,"Damon and Pithias 77 %, 3 works",draft_ai,
94,"Royal Master: Montalto, Domitilla and the king",shared_narrative,contextual_only,"Royal Master 100 %, 1 work",draft_ai,
