source_sha256,unit_id,container_node_path,div_path_filter,decision_default,text_role_default,expected_candidate_nodes,basis,source,status,decided_on
4ded43ef51a013cfa9c77cd16e520013586c2e0aaf2b99b33c818c00ea42a055,A12954,/*/*[2]/*[2],play>act>scene,include,,894,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (play>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 40 chars/node, 894 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
a2bd098c737a8b607346327e1a920865f7d53f62a40630b1c3bf1610a1380a40,A11917,/*/*[2]/*[2],act>scene,include,,710,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 40 chars/node, 710 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.9,/*/*[2]/*[2]/*[9],tragedy>act>scene,include,,710,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 40 chars/node, 710 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
afd1f7de1b392cab31de6cccf375081ae20b986b12739651e29210b72d2fdecc,A02226.5,/*/*[2]/*[2]/*[5],play>act>scene>chorus,include,,568,"INCLUDE: verse lines outside <sp> inside a performance div chain (play>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 44 chars/node, 568 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.8,/*/*[2]/*[2]/*[8],tragedy>act,include,,384,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 53 chars/node, 384 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.6,/*/*[2]/*[2]/*[6],tragedy>act>scene,include,,361,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 46 chars/node, 361 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
4f6ae2b6303f35789896c729968a69340338c7213bb903969683d22ab786cd37,A11912,/*/*[2]/*[2],act>chorus,include,,382,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (act>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 36 chars/node, 382 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
78d34dc0ef7f7a47976ea9a33bed84174cc6f5e1c46f7efe9fa9173b062c0419,A18423,/*/*[2]/*[2],act>scene,include,,49,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 281 chars/node, 49 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.3,/*/*[2]/*/*[3]/*[2],tragedy>act>scene>chorus,include,,363,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 38 chars/node, 363 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
bf8e68cd5eff6bc37c40d7283ab2a1228480a1aca01c82fc181755d0958c6c3d,A16527.3,/*/*[2]/*[2]/*[3]/*[2],tragedy>act>scene>chorus,include,,363,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 38 chars/node, 363 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.4,/*/*[2]/*/*[4]/*[2],tragedy>act>scene>chorus,include,,358,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 38 chars/node, 358 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
bf8e68cd5eff6bc37c40d7283ab2a1228480a1aca01c82fc181755d0958c6c3d,A16527.4,/*/*[2]/*[2]/*[4]/*[2],tragedy>act>scene>chorus,include,,357,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 38 chars/node, 357 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.1,/*/*[2]/*/*[1]/*[2],tragedy>act>scene>chorus,include,,330,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 34 chars/node, 330 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
e4763c7f3ecda69612ee5a2b195637e05d11555116ca373e18227543d65bd450,A11910,/*/*[2]/*[2],act>scene,include,,372,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 29 chars/node, 372 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.2,/*/*[2]/*/*[2]/*[2],tragedy>act>scene,include,,242,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 44 chars/node, 242 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.8,/*/*[2]/*[2]/*[8],tragedy>act>scene,include,,214,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 50 chars/node, 214 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.4,/*/*[2]/*/*[4]/*[2],tragedy>act,include,,240,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 44 chars/node, 240 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
e4763c7f3ecda69612ee5a2b195637e05d11555116ca373e18227543d65bd450,A11910,/*/*[2]/*[2],act>chorus,include,,404,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (act>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 26 chars/node, 404 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f1ed177dd25aa800474c996612ed5248e385aa6e8ec5d5e9f50d27f6443088d9,A11914,/*/*[2]/*[2],play>act>scene,include,,161,"INCLUDE: verse lines outside <sp> inside a performance div chain (play>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 65 chars/node, 161 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
d0474a444590c4dab37911ae1acc18f402aacf159c68e502f7f8907148f004de,A00979,/*/*[2]/*[2],play>act>scene,include,,265,"INCLUDE: verse lines outside <sp> inside a performance div chain (play>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 39 chars/node, 265 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.6,/*/*[2]/*[2]/*[6],tragedy>act,include,,202,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 49 chars/node, 202 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.2,/*/*[2]/*/*[2]/*[2],tragedy>act>scene>chorus,include,,250,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>scene>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 39 chars/node, 250 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f1ed177dd25aa800474c996612ed5248e385aa6e8ec5d5e9f50d27f6443088d9,A11914,/*/*[2]/*[2],play>act>chorus,include,,109,"INCLUDE: verse lines outside <sp> inside a performance div chain (play>act>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 87 chars/node, 109 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
bf8e68cd5eff6bc37c40d7283ab2a1228480a1aca01c82fc181755d0958c6c3d,A16527.3,/*/*[2]/*[2]/*[3]/*[2],tragedy>act>scene,include,,211,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 44 chars/node, 211 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.5,/*/*[2]/*[2]/*[5],tragedy>act,include,,153,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 58 chars/node, 153 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.1,/*/*[2]/*/*[1]/*[2],tragedy>act>scene,include,,194,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 44 chars/node, 194 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.3,/*/*[2]/*/*[3]/*[2],tragedy>act>scene,include,,192,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 44 chars/node, 192 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
4f6ae2b6303f35789896c729968a69340338c7213bb903969683d22ab786cd37,A11912,/*/*[2]/*[2],act,include,,263,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 30 chars/node, 263 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.2,/*/*[2]/*[2]/*[2],tragedy>act>scene,include,,149,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 50 chars/node, 149 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
2e0954997c9bcc46054cbda4a43a3d64ca065e97a203fa156c76c2cf87c3884b,A03804,/*/*[2]/*,act>scene,include,,165,"INCLUDE: verse lines outside <sp> inside a performance div chain (act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 45 chars/node, 165 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.4,/*/*[2]/*/*[4]/*[2],tragedy>act>scene,include,,170,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 43 chars/node, 170 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
bf8e68cd5eff6bc37c40d7283ab2a1228480a1aca01c82fc181755d0958c6c3d,A16527.4,/*/*[2]/*[2]/*[4]/*[2],tragedy>act>scene,include,,170,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 43 chars/node, 170 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
afd1f7de1b392cab31de6cccf375081ae20b986b12739651e29210b72d2fdecc,A02226.5,/*/*[2]/*[2]/*[5],play>act>act>chorus,include,,124,"INCLUDE: verse lines outside <sp> inside a performance div chain (play>act>act>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 58 chars/node, 124 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
5ab0ba6afa1349afc186e1b4c719b624c0a27ac0133995c52986144db73b069b,A16564.2,/*/*[2]/*/*[2]/*[2],tragedy>act>chorus,include,,180,"INCLUDE: verse lines outside <sp> inside a performance div chain (tragedy>act>chorus); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 39 chars/node, 180 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
889134a11fc813c683c957aa42bff156cd7b979c9a0c4538442b0557802206de,A10192,/*/*[2]/*[2],text,include,,212,"INCLUDE: verse lines outside <sp> inside a performance div chain (text); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 33 chars/node, 212 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
3932d374227160609d6e557c4fc0d9bb80167163fbbd59bc485007beb04a8430,A11205,/*/*[2]/*[2],play>body_of_play>act>scene,include,,164,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (play>body_of_play>act>scene); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 42 chars/node, 164 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.4,/*/*[2]/*[2]/*[4],tragedy>act,include,,137,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 49 chars/node, 137 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
f6ac469f8a71698be978984f35a2b93762e2a81bd61502b828e9fe74c1882e3e,A11909.2,/*/*[2]/*[2]/*[2],tragedy>act,include,,121,"INCLUDE: prose/verse nodes outside <sp> inside a performance div chain (tragedy>act); worksheet samples read - character speech, chorus, song, letter read aloud or prologue/epilogue address; TCP simply omitted the <sp> wrapper here. mean 52 chars/node, 121 nodes.","Claude content audit 2026-09-07: non-Occasional worksheet rows (367) read via samples; mixed rows (Mustapha, Devil's Charter, Summer's Last Will, Chloridia, Technogamia, Michaelmas Term) read node by node",applied,2026-09-07
