unit_id,deep_TCP,claims_primary_identity,identity_status,relation,inclusion_status,evidence
A72473.1.3,A72473.3,yes,confirmed_manual,primary,proposed,"1640 vol. 2 (1631 sheets) head 'THE DIVELL IS AN ASSE' = The Devil Is an Ass (DEEP 5124.003, edition 973 - same edition as A04633.2, see witness selection)"
A72473.2.1.1,A72473.5,yes,confirmed_manual,primary,proposed,"head 'CHRISTMAS, HIS MASQUE; AS IT VVAS PRESENTED AT COVRT. 1616' = Christmas His Masque"
A72473.2.1.2,A72473.6,yes,confirmed_manual,primary,proposed,"'THE FRONT BEFORE THE SCENE, was an Arch-Triumphall' = the opening of Lovers Made Men (Lord Hay's masque 1617), DEEP 5124.02"
A72473.2.1.7,A72473.11,yes,confirmed_manual,primary,proposed,head 'THE PROLOGUE AT WINDSOR' = The Gypsies Metamorphosed (DEEP 5124.07)
A72473.2.1.12,A72473.16,yes,confirmed_manual,primary,proposed,head 'THE MASQUE OF OWLES AT KENELWORTH' = The Masque of Owls
A72473.2.2,,no,confirmed_manual,non_dramatic,excluded_proposed,1640 vol. 2 'Complement.' etc. = The Underwood (poems)
A72473.4.1,,no,confirmed_manual,non_dramatic,excluded_proposed,"'HORATIUS DE ARTE POETICA' - translation of Horace, not drama (Latin)"
A72473.4.2,,no,confirmed_manual,non_dramatic,excluded_proposed,'The English Grammar' - prose treatise
A72473.4.3,,no,confirmed_manual,non_dramatic,excluded_proposed,"'EXPLORATA: OR, DISCOVERIES' - prose"
A72573.1,,no,pending,outside_deep_scope,supplementary,"Lyndsay 'Ane Pleasant Satyre of the thrie Estaitis' (1602, Scots): no DEEP record for this TCP id (DEEP covers English playbooks) and the text is Scots - DEFERRED to Grace (frame question: DEEP scope + language), not in v1 | SUPPLEMENTARY per policy_decisions.csv #3 (2026-09-08): Scots text outside the DEEP sampling frame, kept with source unit id, language sco (unit_language.csv override), no DEEP id invented."
A01227.1,A01227.1,yes,confirmed_manual,component,proposed,Fraunce 1591 'Amyntas Pastorall. The first part of the Countesse of Pembrokes Yuychurch' - first part of the one DEEP work (5024.01) - component
A01227.2,A01227.1,no,confirmed_manual,component,proposed,"'Phillis Funerall. The second part of the Countesse of Pembrokes Yuychurch' (pastoral, no <sp>) - second part of the same DEEP work - component; outside-<sp> text is function-audited"
A07502.2.4.1,A07502.8,yes,confirmed_manual,primary,proposed,"Split (extract-2026-09-08.13, children 1-8 of /*/*[2]/*[2]/*[2]/*[9]): head 'The Inuention' + 'At the House of Sir Francis Ihones, L. Maior. For the solemne feast of Easter' - the Four Seasons songs and Flora's speech = Sir Francis Jones's at Easter (DEEP 5078.08, work 376, edition 835). Was A07502.2.4 (mixed three works) in corpus v1. Source: ChatGPT corpus_v1 review source_split_plan.json + Claude source read."
A07502.2.4.2,A07502.9,yes,confirmed_manual,primary,proposed,"Split (children 9-13): 'Here followes the worthy and Noble Entertainments of the Lords of his Maiesties most Honourable Priuy Councell ... The first Entertainment vpon Thursday in Easter weeke ... 1621' at Sheriff Allen's = Lords of the Council by Sheriff Allen / Flora's Welcome (DEEP 5078.09, work 377, edition 836)."
A07502.2.4.3,A07502.10,yes,confirmed_manual,primary,proposed,"Split (children 14-30): 'The last Entertainment full as Noble and worthy as the former, vpon the Saturday ensuing, being the 21. of the same month' - Flora, Hyacinth, Adonis dialogue (12 <sp>) = Lords of the Council by Sheriff Ducie / Flora's Servants (DEEP 5078.10, work 378, edition 837)."
A01514.1.1,A01514.1,yes,confirmed_manual,primary,proposed,"Split (children 35-38 of the 'Flowers' poems div): head 'A deuise of a Maske for the right honorable Viscount Mountacute, written vpon this occasion, when the sayde L. had prepared to solemnize twoo marriages' + the Actor's spoken continuation (36 'the Actor tooke maister Tho. Bro. by the hand ... with these words', 37 'saying thus', 38 'the Actor did make an ende thus') = Montague Masque (DEEP 5007.01, work 62, edition 110, [1575]). ChatGPT located div 35 (346 nodes); Claude added divs 36-38 (30 spoken lines) by function."
A01514.1.0,,no,confirmed_manual,non_dramatic,excluded_proposed,"Residual of Posies 1575 'Flowers' after the Montague Masque was split off: 43 lyric/occasional poems (Anatomy of a Lover, Lullaby, Deprofundis, Memories, Epitaph on Bourcher, Dan Bartholmew of Bathe, The Reporter...) - heads read 2026-09-08; no spoken/performed text; not a DEEP work."
A16527.1,A16527.5,yes,confirmed_manual,primary,proposed,"Head 'THE TRAGEDIE of Croesus' = Croesus (DEEP 5060.01, work 209, edition 491, 1604); the 1607 volume A16527 is DEEP 5061 = the 1604 edition 1466 reissued with a cancel title leaf, and 5061 collection_contains links 5060.01/5060.02 (DEEP official export item_data.json sha256 10005117..., accessed 2026-09-07 by ChatGPT: official_reconnections.json). Local deep_min row A16527.1 (a duplicate of the Alexandraean Tragedy) was corrupt; corrected row added as A16527.5 in deep_additions.csv. No 5061.xx child id invented."
A16527.2,A16527.6,yes,confirmed_manual,primary,proposed,"Head 'THE TRAGEDY OF DARIVS' = Darius (DEEP 5060.02, work 196, edition 446, 1604; TCP sourceDesc: 'The tragedie of Darius retains its original 1604 title page'). Same official-export evidence as A16527.1; corrected row added as A16527.6 in deep_additions.csv."
A03241.23,,no,confirmed_manual,performance_frames_unattributed,supplementary,"Heywood, Pleasant Dialogues 1637, 'Sundry Fancies': 620 body candidates = prologues (230), epilogues (170) and presenter speeches (220) written for court, private-house and playhouse performances (Somerset House, Whitehall, Hampton Court, Earl of Dover's, Red Bull Richard III, Cockpit Queen Elizabeth, Cupid and Psyche). Performance language, but printed apart from the plays and NOT attributable to a DEEP edition text by work+witness; the seven frames_attribution rows for A03241 cover only front/back paratext, so the v1 claim 'frames handled by frames_attribution' was FALSE and is withdrawn (ChatGPT heywood_frame_omission.json). Not 'verified non-dramatic'. Proposed policy for Grace: keep as documented supplementary material outside the main corpus; never appended to other editions on a title match. | SUPPLEMENTARY per policy_decisions.csv #1 (2026-09-08): separately documented performance-frame material outside the main corpus."
