topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
25,"Kings, power and law: political sententiae",thematic_discourse+shared_narrative,pending,"72 chunks, 25 works, Mustapha 36 % + Alaham 14 % (Greville), top three 56 %. Reflection on crowns, fear, laws and the art of rule: Greville's choruses, Sejanus, Byron, Misfortunes of Arthur, Cymbeline's cave speech — a real political theme across authors. Two things are not separated here and go into the limitations: Greville's half-share, and his unregularised spelling (feare, lawes, loue in the keywords). Keep the theme hypothesis; decide after reading the non-Greville chunks.",draft_ai,656_00019;1015_00038;150_00022;512_00029;512_00012;649_00018;892_00022,,
26,"Devils, hell and fiends",thematic_discourse,candidate,"87 chunks, 47 works (5 with 3+), Devil Is an Ass 15 %. The devil as talked about and staged: fiends in disguise, hell, damnation jokes, the devil at Newgate or dancing with the collier; Jonson, Dekker, Davenport, Fulwell. Cross-work; most works contribute one or two chunks.",draft_ai,973_00053;707_00009;1110_00039;89_00003;1173_00034;972_00011;548_00031,,
27,"Uncles, nephews and nieces: inheritance and guardianship",thematic_discourse,candidate,"82 chunks, 44 works, City Match 10 %. Kinship of money: uncles and nephews, nieces and their portions, keys to the counting-house, houses inherited; Mayne, Middleton, Chapman, Jonson, Brome, Heywood's Woman Killed. Cross-work theme.",draft_ai,1118_00003;614_00018;538_00026;1172_00035;981_00046;573_00012;603_00011,,
28,"Marriage-making: weddings, brides and matches",thematic_discourse,candidate,"82 chunks, 51 works, no work above 7 %. Weddings arranged, brides on the morning, matches made or broken, husband-choosing; Lyly, Heywood, Field, Terence, Nabbes, the moral interludes. Cross-work theme; T33 (fathers negotiating) is its neighbour.",draft_ai,239_00021;1071_00004;697_00009;153_00020;1129_00000;123_00028;434_00032,,
29,"Disguise plot around Gloster, Skink and Prince John (Look About You)",shared_narrative+recurring_role_or_name,contextual_only,"62 chunks, 8 works, Look About You 66 %, top three 84 %. One play's plot (Gloster, Faukenbridge, Skink, the hermit); the few outside chunks are other Glosters (King Lear, Henry VI). Single-work cluster.",draft_ai,397_00007;623_00028;878_00017;222_00014;951_00013;319_00013;287_00017,,
30,"Constables, justices and the watch",thematic_discourse+recurring_role_or_name,pending,"65 chunks, 21 works, A Tale of a Tub 43 %, top three 57 %. Petty officers of the law — constables, justices, the watch, robberies reported — a subject shared by Wit in a Constable, Blurt, Three Ladies of London, Northern Lass, Holland's Leaguer; Jonson's Tub holds nearly half. Concentration is a flag, not a verdict: if the theme is confirmed, check the genre result with the Tub removed.",draft_ai,1173_00010;1145_00024;496_00019;146_00034;981_00050;979_00031;430_00026,,
31,"Popes, cardinals and the crown",thematic_discourse+shared_narrative,pending,"62 chunks, 14 works (8 with 3+), When You See Me 27 %, Henry VIII 21 %, top three 57 %. Church and crown: cardinals, legates, the pope's authority over kings; the Henry VIII plays, both King John plays, Bale, Edward II, Duchess of Malfi. A shared historical subject, but two plays hold half — decide whether the concentration is acceptable.",draft_ai,496_00023;880_00001;174_00004;876_00016;858_00036;40_00013;245_00003,,
32,Rings and jewels as tokens,thematic_discourse,candidate,"59 chunks, 31 works, Two Merry Milkmaids 14 %. Rings and jewels given, lost, recognised or made — the token as plot device; Cumber, All's Well, Chaste Maid, Heywood, the Robin Hood plays. Cross-work theme.",draft_ai,822_00050;870_00041;1040_00017;945_00013;628_00009;411_00005;945_00014,,
33,"Fathers, daughters and marriage negotiations",thematic_discourse,candidate,"65 chunks, 41 works (3 with 3+), Terence's Andria 20 %, top three 29 %. Parents disposing of a daughter or son in marriage, the reluctant child, the match discussed between fathers; Andria, All Fools, Celestina, Porter, Sharpham. Cross-work, but nearly every work contributes only one or two chunks; overlaps with T28.",draft_ai,153_00018;518_00034;952_00172;930_00031;993_00006;363_00010;581_00021,,
34,"Thebes: Oedipus' sons, Antigone and Creon",shared_narrative,pending,"47 chunks, 15 works, Jocasta 26 %, top three 66 % (Jocasta, May's Antigone, Seneca's Thebais). One legend, the Theban cycle; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",draft_ai,106_00019;965_00006;132_00011;1003_00002;65_00008;85_00018;140_00002,,
35,"Fools, wit and railing",thematic_discourse,candidate,"58 chunks, 42 works, no work above 7 %. Folly and wit argued over: fools and wise men, living by one's wits, scholars mocked, railing (Thersites); the names in the keywords come from single scenes, the cluster itself is spread over 42 works. Cross-work theme.",draft_ai,658_00018;1046_00009;365_00010;882_00013;1145_00003;239_00012;1082_00004,,
36,"The underworld: hell, ghosts and Furies",thematic_discourse,candidate,"50 chunks, 28 works (5 with 3+), Seneca's Oedipus 14 %. Descriptions of hell and its inhabitants — ghosts, Furies, Styx and Charon, Tantalus and Ixion — in the Seneca translations, Goffe, Wilmot, Marlowe, even Wilson's Cobbler. Common nouns; Senecan translations prominent but not dominant. Cross-work theme.",draft_ai,65_00013;1008_00035;50_00000;160_00032;238_00008;178_00013;79_00022,,
37,"Riches, poverty and covetousness",thematic_discourse,candidate,"60 chunks, 23 works (6 with 3+), Wealth and Health 18 %, top three 52 %. Moralising on wealth: covetousness, the churlish rich man, poverty, 'enough is as good as a feast'; the mid-century interludes, Timon, Magnetic Lady, Alexander. Cross-work but interlude-heavy (topic→genre direction expected); T6 is money in practice, this is money as a moral subject.",draft_ai,45_00014;123_00014;99_00011;608_00043;86_00011;884_00021;1172_00016,,
38,Royal deaths and the news of them,thematic_discourse,candidate,"52 chunks, 36 works, no work above 6 %. Kings and queens facing or hearing of death: the murder of Edward II, Richard II deposed, Gorboduc's sons, Cambises' cruelty, Margaret's curses; the royal register of T1. Cross-work theme.",draft_ai,96_00012;245_00038;273_00029;68_00020;203_00041;446_00029;287_00009,,
39,"Lucre, Conscience and Usury personified (Wilson's London plays)",shared_narrative+recurring_role_or_name,contextual_only,"54 chunks, 14 works, Three Ladies of London 37 % + Three Lords and Three Ladies 35 % = 72 %. Wilson's personified vices and virtues (Lucre, Conscience, Simony, Fraud, Usury) with a few allegorical neighbours (Microcosmus). Two-play cluster.",draft_ai,146_00003;155_00010;813_00008;1045_00018;548_00035;114_00008;238_00005,,
40,"Sin, guilt and a brother's death",thematic_discourse,candidate,"50 chunks, 36 works, Measure for Measure 10 %. Guilt and the fear of death argued between kin: Claudio and Isabella, Titus and his brother, Yarington's murderers, the Yorkshire husband; sin, soul, heaven. A smaller neighbour of T1 with a domestic and penitential turn. Cross-work theme.",draft_ai,864_00019;211_00018;415_00011;91_00030;640_00006;1118_00011;876_00025,,
41,"Household service: masters, doors and porters",mixed_or_unclear,pending,"54 chunks, 39 works, no work above 6 %. Servants, porters, doors locked at night, hostesses and tapsters, 'master' and 'mistress' — domestic and street business rather than one subject; Jonson, 2 Henry IV, Woman Killed, Honest Whore. Cross-work by the numbers but diffuse; read before using.",draft_ai,365_00030;378_00020;603_00022;847_00001;471_00014;822_00004;562_00021,,
42,"Harry, Percy and Mowbray (1 Henry IV and Richard II)",recurring_role_or_name+shared_narrative,pending,"32 chunks, 10 works, 1 Henry IV 44 %, top three 72 %. The Henry IV / Richard II matter (Percy, Mowbray, Glendower, Falstaff) plus chunks from unrelated plays in which someone is called Harry (Dampit in Trick to Catch, Yarington, Hector of Germany): 31 of the 32 masked chunks still contain 'Harry' — a nickname absent from the cast lists — which is a possible explanation of the stray members, not a proven one. Group decision with T43 (and T10/T18, which are candidates as subject areas): whether English chronicle matter enters the comparison.",draft_ai,300_00045;273_00017;415_00028;503_00014;614_00006;744_00002;503_00012,,
43,"York and Lancaster: Henry, Richard, Warwick and the crown",shared_narrative,pending,"40 chunks, 12 works (6 with 3+), 3 Henry VI 23 %, top three 55 %. The Wars of the Roses matter — Plantagenet against Somerset, the crown between Henry and Edward, Richard's plots — in the Henry VI plays, both Richard III plays and both King John plays. Historical matter shared by one cycle of plays; decide with T10 and T18 whether English chronicle matter enters the comparison.",draft_ai,268_00001;878_00014;170_00009;242_00008;287_00002;287_00047;876_00001,,
44,"Drinking: wine, ale and taverns",thematic_discourse,candidate,"54 chunks, 37 works, Bartholomew Fair 19 %. Drink and drinkers: wine, ale, pots, the tavern as rendezvous, the red-faced host, drunken songs; Jonson, Nashe, Heywood and Brome, Shirley, Lyly. Cross-work theme.",draft_ai,971_00018;396_00019;1020_00011;235_00025;1000_00008;1077_00000;239_00013,,
45,Rich widows wooed,thematic_discourse,pending,"52 chunks, 18 works (5 with 3+), Trick to Catch the Old One 21 %, top three 54 %. The widow-hunt: widows courted for their wealth, old husbands and young wives, the widow's jointure; Middleton, Barry, Rowley, Armin, even 3 Henry VI (Edward and Lady Grey). A clear comic motif shared across works — verify first; the top-three share is a flag for a robustness check, not a reason to exclude.",draft_ai,614_00021;683_00038;999_00035;721_00008;765_00030;268_00024;672_00000,,
46,"Swords, quarrels and valour",thematic_discourse,candidate,"47 chunks, 33 works, Every Man in His Humour 11 %. Rapiers and daggers, quarrels among gentlemen, cowards and their brags, duels prevented; Jonson, Beaumont and Fletcher, Shirley, Work for Cutlers. Cross-work theme.",draft_ai,404_00036;749_00000;808_00033;95_00020;365_00035;1056_00004;1172_00022,,
47,"Knaves, thieves and bawds",thematic_discourse,candidate,"51 chunks, 32 works, Like Will to Like 14 %. The underworld: knaves and rogues, thieves and their purchase, whores and bawdy houses, the gallows; Fulwell, Dekker, 1 Henry IV, Davenport, Hausted. Cross-work theme.",draft_ai,89_00007;947_00012;300_00011;708_00023;1110_00021;765_00013;983_00055,,
48,"Addressing a lady: love, eyes and tears",mixed_or_unclear,pending,"49 chunks, 39 works, only one work with 3+ chunks, no work above 8 %. Speeches to or about a lady — love, heart, eyes, tears, 'fie' — but the samples range from Ford's Broken Heart to Nature's speech in Wit and Science, a bawd in Blurt and Jonson's gypsy palmistry. Cross-work by the numbers, diffuse in content; read before using (T4 is the clearer love cluster).",draft_ai,1003_00012;95_00000;430_00010;826_00027;364_00032;1139_00006;896_00019,,
49,"Wooing a mistress: suitors, go-betweens and letters",thematic_discourse,candidate,"45 chunks, 31 works, no work above 7 %. Courtship as negotiation in prose: the suitor and his mistress, go-betweens, letters answered late, 'gentlewoman' and 'gentleman'; Celestina, Jonson, Shirley, Porter, Barry. Cross-work; the practical counterpart of T4 (love as feeling).",draft_ai,952_00091;973_00017;980_00027;434_00014;363_00025;1174_00008;683_00014,,
50,"Fleets, armies and generals: war by sea and land",thematic_discourse,candidate,"43 chunks, 32 works, Young Admiral 16 %. News of battle: fleets that fly, generals descried from the fort, ships found safe, armies within ken; Shirley, Antony and Cleopatra, The Tempest, Goffe, Massinger. Cross-work theme; T57 is the trading and piracy side of the sea.",draft_ai,1052_00009;890_00026;860_00031;961_00040;1073_00042;992_00013;896_00024,,
51,"Parents and sons: blessing, birthright and disobedience",thematic_discourse+shared_narrative,candidate,"45 chunks, 26 works, Jacob and Esau 24 %, top three 42 %. Fathers and mothers with their sons: the favoured and the disobedient child, the blessing and the birthright, the prodigal's departure; Udall, Ingelend, Celestina (Parmeno), Lear (Edmund), Lyly. Cross-work, with Jacob and Esau's share noted.",draft_ai,91_00007;94_00005;952_00083;623_00007;1129_00008;239_00000;22_00017,,
52,"Prodigals, portions and poor kin",thematic_discourse,candidate,"44 chunks, 24 works, New Wonder 16 %, top three 39 %. Prodigal heirs, brothers asking for their portions, a father crying for bread at the grate, wills and charity; Heywood and Rowley, Wilkins, London Prodigal, Middleton, Scornful Lady. Cross-work theme; T27 (uncles and nephews) is its comic neighbour.",draft_ai,978_00036;586_00022;521_00003;765_00037;575_00030;640_00005;753_00006,,
53,"The crown: kingship claimed, resigned and seized",thematic_discourse,candidate,"42 chunks, 27 works, Nobody and Somebody 12 %. The crown as object: Edward II resigning it, Elidure refusing it, Tarquin and the protector, 'no murder in a king'; state, reign, sovereign. Cross-work theme; close to T38 (royal deaths) and T43.",draft_ai,540_00010;562_00008;245_00031;216_00020;1117_00001;242_00005;314_00029,,
54,Antony and Cleopatra,shared_narrative,pending,"34 chunks, 12 works, Herbert's Antonius 35 %, Daniel's Cleopatra 24 %, top three 71 %. One story — Antony's defeat and Cleopatra's death — in the closet tragedies (Herbert, Daniel, May); Shakespeare's version sits in T2/T50. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",draft_ai,187_00024;251_00001;1099_00020;1050_00016;993_00026;420_00020;813_00004,,
55,The Fairy Queen and her fairies,shared_narrative+recurring_role_or_name,pending,"35 chunks, 9 works, Whore of Babylon 43 %, top three 77 %. The Fairy Queen (Titania as Elizabeth), Oberon, Mab and the fairies in Dekker's allegory, Randolph's Amyntas, A Midsummer Night's Dream and two royal entertainments; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",draft_ai,569_00003;1091_00039;385_00024;128_00012;987_00025;740_00012;149_00007,,
56,"Magic, spells and conjuring",thematic_discourse,candidate,"35 chunks, 21 works (2 with 3+), Comus 14 %. Magic as art and threat: Faustus' necromantic books, Comus' charms, Medea's spells, conjured apparitions; Marlowe, Milton, Seneca, Barry, Goffe, Heywood. Cross-work theme (small).",draft_ai,1057_00008;476_00001;79_00020;740_00020;616_00011;1008_00012;719_00020,,
57,"Ships, merchants and pirates",thematic_discourse,candidate,"37 chunks, 22 works, Englishmen for My Money 11 %. Voyages and their losses: ships taken by galleys, merchants' news, pirates, sailing home, shipwreck as metaphor; Haughton, Eastward Ho, Daborne, Roaring Girl, Massinger. Cross-work theme (small).",draft_ai,762_00008;514_00028;698_00002;696_00002;978_00026;930_00023;699_00036,,
58,"Jack Daw, Dauphine and the ladies (Epicene)",recurring_role_or_name+shared_narrative,contextual_only,"31 chunks, 16 works, Epicene 39 %, top three 55 %. Jonson's Epicene (Jack Daw, Dauphine, the collegiate ladies) with chunks from other plays in which someone is called Jack; 25 of the 31 masked chunks still contain 'Jack', a nickname the cast lists do not carry — a possible link, not a proven cause. No shared subject beyond the play; single-work cluster unless reading shows one.",draft_ai,704_00022;1056_00026;1051_00028;434_00034;1071_00008;527_00038;920_00010,,
59,"Andrea, Horatio and the Spanish court (1 Jeronimo)",shared_narrative+recurring_role_or_name,pending,"36 chunks, 13 works, 1 Jeronimo 39 %, top three 64 %. The Spanish–Portuguese court of Kyd's world (Andrea, Horatio, Bel-imperia, Lorenzo, the tribute) with Dekker's Spanish plays and The Cid beside it; the Spanish Tragedy itself contributes two chunks. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",draft_ai,520_00012;1016_00015;953_00005;190_00001;190_00007;1150_00005;993_00029,,
60,Emperors and vassal kings: imperial Rome,thematic_discourse+shared_narrative,candidate,"33 chunks, 15 works (6 with 3+), Virgin Martyr 18 %, top three 42 %. The empire as setting: Caesar as emperor, vassal kings crowned and uncrowned, Dioclesian, Herod under Rome, Messalina, Charles the Emperor; Dekker and Massinger, Markham, Richards, Daniel, Chapman. Imperial counterpart of T2 (republican Rome); comparable, with the small size noted.",draft_ai,843_00004;848_00010;1131_00023;595_00032;710_00010;251_00008;854_00020,,
61,Sir Giles Goosecap and his knights,shared_narrative+recurring_role_or_name,contextual_only,"34 chunks, 3 works, Sir Giles Goosecap 59 %, New Way to Pay Old Debts 26 %, Constant Maid 15 %. One play's knights and ladyships with two later plays that share its ladyship-and-table register. Single-work cluster.",draft_ai,538_00006;997_00012;1146_00024,,
62,"The courtier as a type: fashion, affectation and foreign manners",thematic_discourse,candidate,"30 chunks, 17 works, Cynthia's Revels 17 %. Satire of the courtier: shrugs and faces, hat and band, French and Italian fashions, the compliment lesson, the courtier's dictionary; Jonson, Cooke, Glapthorne, Ford, Edwards, Massinger. Cross-work theme (the smallest cluster).",draft_ai,413_00030;732_00036;1144_00007;430_00013;914_00009;100_00025;977_00006,,
