topic,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
15,Friars and holy orders in the plot,thematic_discourse+recurring_role_or_name,included,"93 chunks, 26 works (11 with 3+), Measure for Measure 14 %, top three 38 %. Friars, priors and nuns as agents of the action: friars who marry lovers in secret, conjure, carry messages or plot murder; Shakespeare, Peele, Greene, Marlowe (Jew of Malta, Massacre), the Robin Hood plays, Davenport. The role holds it together, not one story; comparable across works.",user_confirmed,864_00039;203_00028;232_00012;1110_00013;998_00020;411_00007;260_00017,Friars and holy orders in plot,
16,"Gallantry: ladies, lordships and compliment",thematic_discourse,included,"108 chunks, 58 works, Lady of Pleasure 12 %. Fashionable courtship and compliment — 'your Ladyship', 'his Lordship', servants and honour, dancing lessons, the court as a place of manners; Shirley, Jonson, Chapman, Nabbes. Cross-work theme; close to T0 and T14 in setting but about manners rather than power.",user_confirmed,1051_00007;1095_00017;413_00032;699_00004;1077_00002;1050_00013;701_00031,"Gallantry: ladies, lordships and compliment",
17,"Eastern conquest: Persians, Turks and soldans",thematic_discourse+shared_narrative,included,"108 chunks, 20 works (8 with 3+), 1 Tamburlaine 22 %, top three 55 %. Conquest rhetoric of the East: Scythian, Persian and Turkish armies, Mahomet, soldans, Christians against Turks; Marlowe, Wars of Cyrus, Goffe's Turk plays, Alexander's Darius, Heywood's Four Prentices. A shared subject rather than one story, but three works hold over half — decide whether the concentration is acceptable.",user_confirmed,156_00020;250_00017;1120_00010;961_00049;751_00027;446_00004;751_00021,"Eastern conquest: Persians, Turks and soldans","sample review supports an eastern-conquest and military-authority core. The full peripheral Maidenhead sample concerns Sforza's siege and an ungrateful ruler, not an eastern setting. Include as a subject domain with this documented boundary case; assess dominant-work influence if used for a central finding. Reviewed excerpts (three different works): 1120_00030; 250_00019; 1019_00004. Full-chunk follow-up: 1019_00004."
18,"Rebels, barons and the king's wars at home",thematic_discourse+shared_narrative,included,"96 chunks, 25 works (9 with 3+), Valiant Scot 21 %, top three 45 %. Rebellion and civil war within Britain: rebels, traitors, barons against the king, Scotland and England, drums and standards; Valiant Scot, Heywood's Edward IV, Edward II, Gorboduc, Jack Straw, also Chapman's Bussy plays. Historical matter shared by many plays; neighbour of T10 (France) and T43 (York/Lancaster).",user_confirmed,1053_00028;345_00007;245_00022;68_00023;579_00038;710_00020;207_00002,"Rebels, barons and the king's wars at home",
19,"Virtue, Fortune and Vice as abstractions",thematic_discourse,pending,"97 chunks, 60 works, Old Fortunatus 12 %. Moralising on Virtue, Fortune's wheel, Fame, Envy, Pride and Vice — personified abstractions and sententiae; interludes and pageants, but also Henry V (Fluellen on Fortune), Poetaster, Satiromastix. Cross-work theme.",user_pending,364_00044;1087_00034;433_00000;89_00014;371_00011;422_00038;444_00033,"Virtue, Fortune and Vice as abstractions",sample review confirms an allegorical core but finds courtship/alchemical salesmanship and praise of the wool trade at the boundary. Keep pending until a coherent moral or evaluative connection beyond shared elevated vocabulary is established. Reviewed excerpts (three different works): 433_00004; 701_00032; 1021_00002. Full-chunk follow-up: 701_00032.
20,"Hercules: labours, Deianira and the pyre",shared_narrative,included,"87 chunks, 18 works, Hercules Oetaeus 39 %, top three 75 %. One legend — Hercules' labours, madness and death — in the Seneca translations and Heywood's Brazen Age, with Hercules allusions elsewhere (Lingua). Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,134_00041;719_00008;59_00002;562_00042;79_00024;1076_00011;1040_00014,"Hercules: labours, suffering and virtue","sample review supports Hercules-related suffering, action and virtue. The full Pleasure Reconciled chunk explicitly addresses Hercules and his labours. Include under the proposed shared-subject policy, without assuming one repeated plot. Reviewed excerpts (three different works): 134_00040; 59_00025; 1164_00003. Full-chunk follow-up: 1164_00003."
21,"Cupid, Venus and the nymphs",thematic_discourse+recurring_role_or_name,included,"102 chunks, 40 works (7 with 3+), Love's Metamorphosis 13 %, top three 36 %. Love under the gods: Cupid, Venus, Ceres, Diana, nymphs and swains; Lyly, Randolph, Tasso, Fraunce, Phineas Fletcher. Mythological roles shared across works; the boys'-company and pastoral concentration is content, not a single play. Comparable; only 7 works have 3+ chunks.",user_confirmed,409_00019;1091_00036;179_00018;957_00018;910_00031;413_00000;165_00000,"Cupid, Venus and the nymphs",
22,"Shepherds, flocks and Pan",thematic_discourse,included,"96 chunks, 31 works, Faithful Shepherdess 28 %, top three 44 %. The shepherd's world: flocks, swains, Pan, the shepherdess, woods; Fletcher, Mucedorus, As You Like It, Shirley, Heywood, entertainments. Cross-work, but one play holds over a quarter — note the share when a genre result rests on this topic.",user_confirmed,675_00038;319_00018;868_00034;200_00000;954_00015;1063_00009;964_00006,"Shepherds, flocks and Pan",
23,"Husbands, wives and jealousy",thematic_discourse,included,"91 chunks, 52 works, no work above 8 %. Jealous husbands, suspected wives, cuckoldry feared or arranged, 'honest' as the wife's word; Sharpham, Chapman, Dekker, Nabbes, Brome, also Soliman and Perseda. Cross-work theme.",user_confirmed,581_00009;518_00022;590_00017;1082_00031;188_00013;813_00029;1140_00035,"Husbands, wives and jealousy",
24,"Apollo, the Muses and Midas",recurring_role_or_name+thematic_discourse,included,"84 chunks, 31 works, Apollo Shroving 35 %, top three 54 %. Apollo/Phoebus as sun-god and patron of the Muses, Midas' ears, sirens: Lyly (Midas, Sappho and Phao), Maid's Metamorphosis, Heywood, Seneca's sunrise choruses share the subject with the school play Apollo Shroving. The one-play share is a flag to check (does a genre result change without it?), not a reason to exclude; read the non-Shroving chunks and decide.",user_confirmed,907_00001;181_00027;370_00027;50_00016;135_00006;794_00020;719_00027,"Apollo, Phoebus and the Muses","sample review supports Apollo/Phoebus across worship, learning, desire and cosmic disorder. The full Thyestes sample explicitly addresses Phoebus. Include as a mythological domain; do not treat Apollo Shroving's concentration as automatic exclusion. Reviewed excerpts (three different works): 907_00003; 135_00006; 50_00016. Full-chunk follow-up: 50_00016."
25,"Kings, power and law: political sententiae",thematic_discourse+shared_narrative,included,"72 chunks, 25 works, Mustapha 36 % + Alaham 14 % (Greville), top three 56 %. Reflection on crowns, fear, laws and the art of rule: Greville's choruses, Sejanus, Byron, Misfortunes of Arthur, Cymbeline's cave speech — a real political theme across authors. Two things are not separated here and go into the limitations: Greville's half-share, and his unregularised spelling (feare, lawes, loue in the keywords). Keep the theme hypothesis; decide after reading the non-Greville chunks.",user_confirmed,656_00019;1015_00038;150_00022;512_00029;512_00012;649_00018;892_00022,"Kings, power and law: political sententiae",
26,"Devils, hell and fiends",thematic_discourse,included,"87 chunks, 47 works (5 with 3+), Devil Is an Ass 15 %. The devil as talked about and staged: fiends in disguise, hell, damnation jokes, the devil at Newgate or dancing with the collier; Jonson, Dekker, Davenport, Fulwell. Cross-work; most works contribute one or two chunks.",user_confirmed,973_00053;707_00009;1110_00039;89_00003;1173_00034;972_00011;548_00031,"Devils, hell and fiends",
27,"Uncles, nephews and nieces: inheritance and guardianship",thematic_discourse,included,"82 chunks, 44 works, City Match 10 %. Kinship of money: uncles and nephews, nieces and their portions, keys to the counting-house, houses inherited; Mayne, Middleton, Chapman, Jonson, Brome, Heywood's Woman Killed. Cross-work theme.",user_confirmed,1118_00003;614_00018;538_00026;1172_00035;981_00046;573_00012;603_00011,"Uncles, nephews and cousins: kinship and patronage","sample review supports extended kinship, patronage and household dealings. Revise the inheritance/guardianship emphasis because the samples include favour, hospitality and joint schemes without an explicit inheritance dispute. Reviewed excerpts (three different works): 614_00010; 628_00030; 1020_00002."
28,"Marriage-making: weddings, brides and matches",thematic_discourse,included,"82 chunks, 51 works, no work above 7 %. Weddings arranged, brides on the morning, matches made or broken, husband-choosing; Lyly, Heywood, Field, Terence, Nabbes, the moral interludes. Cross-work theme; T33 (fathers negotiating) is its neighbour.",user_confirmed,239_00021;1071_00004;697_00009;153_00020;1129_00000;123_00028;434_00032,"Marriage-making: weddings, brides and matches",
29,"Disguise plot around Gloster, Skink and Prince John (Look About You)",shared_narrative+recurring_role_or_name,contextual_only,"62 chunks, 8 works, Look About You 66 %, top three 84 %. One play's plot (Gloster, Faukenbridge, Skink, the hermit); the few outside chunks are other Glosters (King Lear, Henry VI). Single-work cluster.",user_confirmed,397_00007;623_00028;878_00017;222_00014;951_00013;319_00013;287_00017,Disguise and pursuit in Look About You,"sample review supports a Look About You disguise/pursuit core, while sampled peripheral scenes concern reconciliation oaths and murder. Retain for contextual display; this decision rests on uncertain cross-work coherence, not concentration alone. Reviewed excerpts (three different works): 397_00024; 287_00017; 951_00013."
30,"Constables, justices and the watch",thematic_discourse+recurring_role_or_name,included,"65 chunks, 21 works, A Tale of a Tub 43 %, top three 57 %. Petty officers of the law — constables, justices, the watch, robberies reported — a subject shared by Wit in a Constable, Blurt, Three Ladies of London, Northern Lass, Holland's Leaguer; Jonson's Tub holds nearly half. Concentration is a flag, not a verdict: if the theme is confirmed, check the genre result with the Tub removed.",user_confirmed,1173_00010;1145_00024;496_00019;146_00034;981_00050;979_00031;430_00026,"Constables, justices and the watch","sample review confirms constables and local justice across crime reporting, marriage intervention and bribery. Include; concentration in Tale of a Tub does not erase this cross-work content. Reviewed excerpts (three different works): 1127_00025; 1173_00022; 1145_00025."
31,"Popes, cardinals and the crown",thematic_discourse+shared_narrative,included,"62 chunks, 14 works (8 with 3+), When You See Me 27 %, Henry VIII 21 %, top three 57 %. Church and crown: cardinals, legates, the pope's authority over kings; the Henry VIII plays, both King John plays, Bale, Edward II, Duchess of Malfi. A shared historical subject, but two plays hold half — decide whether the concentration is acceptable.",user_confirmed,496_00023;880_00001;174_00004;876_00016;858_00036;40_00013;245_00003,"Popes, cardinals and the crown","sample review supports papal/ecclesiastical authority in conflict with secular rule, alongside anti-papal fiscal satire. Include as a discourse domain; do not infer a uniform authorial religious position. Reviewed excerpts (three different works): 876_00017; 174_00017; 40_00013."
32,Rings and jewels as tokens,thematic_discourse,included,"59 chunks, 31 works, Two Merry Milkmaids 14 %. Rings and jewels given, lost, recognised or made — the token as plot device; Cumber, All's Well, Chaste Maid, Heywood, the Robin Hood plays. Cross-work theme.",user_confirmed,822_00050;870_00041;1040_00017;945_00013;628_00009;411_00005;945_00014,Rings and jewels as tokens,
33,"Fathers, daughters and marriage negotiations",thematic_discourse,included,"65 chunks, 41 works (3 with 3+), Terence's Andria 20 %, top three 29 %. Parents disposing of a daughter or son in marriage, the reluctant child, the match discussed between fathers; Andria, All Fools, Celestina, Porter, Sharpham. Cross-work, but nearly every work contributes only one or two chunks; overlaps with T28.",user_confirmed,153_00018;518_00034;952_00172;930_00031;993_00006;363_00010;581_00021,"Fathers, daughters and marriage negotiations",
34,"Thebes: Oedipus' sons, Antigone and Creon",shared_narrative,included,"47 chunks, 15 works, Jocasta 26 %, top three 66 % (Jocasta, May's Antigone, Seneca's Thebais). One legend, the Theban cycle; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,106_00019;965_00006;132_00011;1003_00002;65_00008;85_00018;140_00002,"Thebes and royal catastrophe: siege, slaughter and funeral rites","follow-up reading confirms a Theban core: Jocasta, Thebais and Antigone supply 31 of 47 chunks (66%). Full chunks reviewed: 106_00019; 132_00011; 965_00006. Their content connects siege, dynastic conflict, royal violence and funeral obligations. Retain Thebes in the label; the previously sampled Tamburlaine and Cleopatra passages (156_00031; 1099_00023) represent related catastrophe and mourning at the boundary. Include as a shared narrative and thematic domain, with its concentration in three related works explicitly acknowledged. This is a sampled interpretation, not exhaustive validation of all members."
35,"Fools, wit and railing",thematic_discourse,included,"58 chunks, 42 works, no work above 7 %. Folly and wit argued over: fools and wise men, living by one's wits, scholars mocked, railing (Thersites); the names in the keywords come from single scenes, the cluster itself is spread over 42 works. Cross-work theme.",user_confirmed,658_00018;1046_00009;365_00010;882_00013;1145_00003;239_00012;1082_00004,"Fools, wit and railing",
36,"The underworld: hell, ghosts and Furies",thematic_discourse,included,"50 chunks, 28 works (5 with 3+), Seneca's Oedipus 14 %. Descriptions of hell and its inhabitants — ghosts, Furies, Styx and Charon, Tantalus and Ixion — in the Seneca translations, Goffe, Wilmot, Marlowe, even Wilson's Cobbler. Common nouns; Senecan translations prominent but not dominant. Cross-work theme.",user_confirmed,65_00013;1008_00035;50_00000;160_00032;238_00008;178_00013;79_00022,"Hell, Furies and the language of punishment","sample review supports infernal imagery, guilt, vengeance and punishment. Full checks of Messalina and Medea distinguish figurative or threatened hell from literal underworld setting. Include with the revised emphasis. Reviewed excerpts (three different works): 65_00025; 1131_00025; 79_00001. Full-chunk follow-up: 1131_00025; 79_00001"
37,"Riches, poverty and covetousness",thematic_discourse,included,"60 chunks, 23 works (6 with 3+), Wealth and Health 18 %, top three 52 %. Moralising on wealth: covetousness, the churlish rich man, poverty, 'enough is as good as a feast'; the mid-century interludes, Timon, Magnetic Lady, Alexander. Cross-work but interlude-heavy (topic→genre direction expected); T6 is money in practice, this is money as a moral subject.",user_confirmed,45_00014;123_00014;99_00011;608_00043;86_00011;884_00021;1172_00016,"Riches, poverty and covetousness",
38,Royal deaths and the news of them,thematic_discourse,included,"52 chunks, 36 works, no work above 6 %. Kings and queens facing or hearing of death: the murder of Edward II, Richard II deposed, Gorboduc's sons, Cambises' cruelty, Margaret's curses; the royal register of T1. Cross-work theme.",user_confirmed,96_00012;245_00038;273_00029;68_00020;203_00041;446_00029;287_00009,"Death, parting and grief at court","sample review supports courtly loss, parting and mourning. Revise the label: the samples include farewell to favourites, allegorical seasonal death and reported royal bereavement, not only literal deaths of rulers. Reviewed excerpts (three different works): 245_00029; 396_00032; 874_00045."
39,"Lucre, Conscience and Usury personified (Wilson's London plays)",shared_narrative+recurring_role_or_name,included,"54 chunks, 14 works, Three Ladies of London 37 % + Three Lords and Three Ladies 35 % = 72 %. Wilson's personified vices and virtues (Lucre, Conscience, Simony, Fraud, Usury) with a few allegorical neighbours (Microcosmus). Two-play cluster.",user_confirmed,146_00003;155_00010;813_00008;1045_00018;548_00035;114_00008;238_00005,"Profit, conscience and dishonest dealing","sample review supports profit, conscience and dishonest dealing beyond Wilson: exposed knavery in Wily Beguiled and unequal justice in Impatient Poverty. Recommend inclusion with a content label, while retaining the strong Wilson concentration as a sensitivity flag. Reviewed excerpts (three different works): 155_00015; 548_00035; 53_00006."
40,"Sin, guilt and a brother's death",thematic_discourse,included,"50 chunks, 36 works, Measure for Measure 10 %. Guilt and the fear of death argued between kin: Claudio and Isabella, Titus and his brother, Yarington's murderers, the Yorkshire husband; sin, soul, heaven. A smaller neighbour of T1 with a domestic and penitential turn. Cross-work theme.",user_confirmed,864_00019;211_00018;415_00011;91_00030;640_00006;1118_00011;876_00025,"Sin, guilt and violent loss within families","sample review supports sin, coercion, guilt and family loss. Broaden the brother-specific draft label: the sampled material includes a daughter's death and violence justified through political power. Reviewed excerpts (three different works): 864_00016; 586_00015; 740_00003."
41,"Household service: masters, doors and porters",mixed_or_unclear,pending,"54 chunks, 39 works, no work above 6 %. Servants, porters, doors locked at night, hostesses and tapsters, 'master' and 'mistress' — domestic and street business rather than one subject; Jonson, 2 Henry IV, Woman Killed, Honest Whore. Cross-work by the numbers but diffuse; read before using.",user_pending,365_00030;378_00020;603_00022;847_00001;471_00014;822_00004;562_00021,"Household service: masters, doors and porters","sample review finds a clear doorway scene but less specific household-service content in the other samples, which concern courtship, food and promised wealth. Keep pending; dispersed work membership alone does not establish thematic coherence. Reviewed excerpts (three different works): 866_00010; 920_00018; 701_00009."
42,"Harry, Percy and Mowbray (1 Henry IV and Richard II)",recurring_role_or_name+shared_narrative,contextual_only,"32 chunks, 10 works, 1 Henry IV 44 %, top three 72 %. The Henry IV / Richard II matter (Percy, Mowbray, Glendower, Falstaff) plus chunks from unrelated plays in which someone is called Harry (Dampit in Trick to Catch, Yarington, Hector of Germany): 31 of the 32 masked chunks still contain 'Harry' — a nickname absent from the cast lists — which is a possible explanation of the stray members, not a proven one. Group decision with T43 (and T10/T18, which are candidates as subject areas): whether English chronicle matter enters the comparison.",user_confirmed,300_00045;273_00017;415_00028;503_00014;614_00006;744_00002;503_00012,English historical figures: a mixed cluster,
43,"York and Lancaster: Henry, Richard, Warwick and the crown",shared_narrative,included,"40 chunks, 12 works (6 with 3+), 3 Henry VI 23 %, top three 55 %. The Wars of the Roses matter — Plantagenet against Somerset, the crown between Henry and Edward, Richard's plots — in the Henry VI plays, both Richard III plays and both King John plays. Historical matter shared by one cycle of plays; decide with T10 and T18 whether English chronicle matter enters the comparison.",user_confirmed,268_00001;878_00014;170_00009;242_00008;287_00002;287_00047;876_00001,York and Lancaster: dynastic claims and conflict,
44,"Drinking: wine, ale and taverns",thematic_discourse,included,"54 chunks, 37 works, Bartholomew Fair 19 %. Drink and drinkers: wine, ale, pots, the tavern as rendezvous, the red-faced host, drunken songs; Jonson, Nashe, Heywood and Brome, Shirley, Lyly. Cross-work theme.",user_confirmed,971_00018;396_00019;1020_00011;235_00025;1000_00008;1077_00000;239_00013,"Drinking: wine, ale and taverns",
45,Rich widows wooed,thematic_discourse,included,"52 chunks, 18 works (5 with 3+), Trick to Catch the Old One 21 %, top three 54 %. The widow-hunt: widows courted for their wealth, old husbands and young wives, the widow's jointure; Middleton, Barry, Rowley, Armin, even 3 Henry VI (Edward and Lady Grey). A clear comic motif shared across works — verify first; the top-three share is a flag for a robustness check, not a reason to exclude.",user_confirmed,614_00021;683_00038;999_00035;721_00008;765_00030;268_00024;672_00000,"Widows, wooing and remarriage","review supports widowhood, wooing and remarriage. The full All's Lost by Lust sample contains widow/remarriage language before a tragic turn. Remove the universal wealth assumption; retain concentration and mixed-chunk caveats. Reviewed excerpts (three different works): 591_00012; 683_00040; 993_00031. Full-chunk follow-up: 993_00031."
46,"Swords, quarrels and valour",thematic_discourse,included,"47 chunks, 33 works, Every Man in His Humour 11 %. Rapiers and daggers, quarrels among gentlemen, cowards and their brags, duels prevented; Jonson, Beaumont and Fletcher, Shirley, Work for Cutlers. Cross-work theme.",user_confirmed,404_00036;749_00000;808_00033;95_00020;365_00035;1056_00004;1172_00022,"Swords, quarrels and valour",
47,"Knaves, thieves and bawds",thematic_discourse,included,"51 chunks, 32 works, Like Will to Like 14 %. The underworld: knaves and rogues, thieves and their purchase, whores and bawdy houses, the gallows; Fulwell, Dekker, 1 Henry IV, Davenport, Hausted. Cross-work theme.",user_confirmed,89_00007;947_00012;300_00011;708_00023;1110_00021;765_00013;983_00055,"Knaves, thieves and bawds",
48,"Addressing a lady: love, eyes and tears",mixed_or_unclear,pending,"49 chunks, 39 works, only one work with 3+ chunks, no work above 8 %. Speeches to or about a lady — love, heart, eyes, tears, 'fie' — but the samples range from Ford's Broken Heart to Nature's speech in Wit and Science, a bawd in Blurt and Jonson's gypsy palmistry. Cross-work by the numbers, diffuse in content; read before using (T4 is the clearer love cluster).",user_pending,1003_00012;95_00000;430_00010;826_00027;364_00032;1139_00006;896_00019,"Addressing a lady: love, desire and intimacy","sample review finds erotic address, secrecy and bodily humour. A coherent distinct emphasis relative to the other love/gallantry clusters is not yet clear; keep pending rather than dismissing the members as meaningless. Reviewed excerpts (three different works): 952_00156; 1117_00006; 430_00010."
49,"Wooing a mistress: suitors, go-betweens and letters",thematic_discourse,included,"45 chunks, 31 works, no work above 7 %. Courtship as negotiation in prose: the suitor and his mistress, go-betweens, letters answered late, 'gentlewoman' and 'gentleman'; Celestina, Jonson, Shirley, Porter, Barry. Cross-work; the practical counterpart of T4 (love as feeling).",user_confirmed,952_00091;973_00017;980_00027;434_00014;363_00025;1174_00008;683_00014,"Wooing a mistress: suitors, go-betweens and letters",
